slug,state_name,state_code,state_slug,avg_premium,top_insurer,avg_vet_cost,title,subtitle,excerpt,metaTitle,metaDescription,metaKeywords,status,isPublished,showAds
pet-insurance/california,California,CA,california,$45/month,Trupanion,$250-500/visit,Pet Insurance in California (2024 Guide),Protect your furry family members in CA,California pet owners pay an average of $45/month. Vet costs are higher in urban areas.,Pet Insurance California | Compare Pet Insurance Rates (2024),Find affordable pet insurance in California. Average $45/month. Vet costs $250-500/visit. Compare quotes from top insurers today.,"pet insurance california,california pet insurance,dog insurance ca,cat insurance california",PUBLISHED,true,true
pet-insurance/california/los-angeles,California,CA,california,$52/month,Trupanion,$300-600/visit,Pet Insurance in Los Angeles CA (2024),LA pet insurance options,Los Angeles has high vet costs. Average $52/month.,Pet Insurance Los Angeles CA | Compare LA Rates,Find pet insurance in Los Angeles. Higher vet costs $300-600/visit. Average $52/month. Compare quotes today.,"pet insurance los angeles,LA pet insurance,los angeles dog insurance",PUBLISHED,true,true
pet-insurance/new-york,New York,NY,new-york,$55/month,Healthy Paws,$300-600/visit,Pet Insurance in New York (2024 Guide),NY pet coverage options,New York has premium vet care. Average $55/month.,Pet Insurance New York | Compare Pet Insurance Rates (2024),Find affordable pet insurance in New York. Average $55/month. Vet costs $300-600/visit. Compare quotes today.,"pet insurance new york,new york pet insurance,dog insurance ny",PUBLISHED,true,true
pet-insurance/new-york/nyc,New York,NY,new-york,$62/month,Healthy Paws,$350-700/visit,Pet Insurance in New York City (2024),NYC pet insurance,NYC has highest vet costs. Average $62/month.,Pet Insurance New York City | Compare NYC Rates,Find pet insurance in NYC. Highest vet costs $350-700/visit. Average $62/month. Compare quotes today.,"pet insurance nyc,nyc pet insurance,new york city dog insurance",PUBLISHED,true,true
pet-insurance/texas,Texas,TX,texas,$40/month,Nationwide,$200-450/visit,Pet Insurance in Texas (2024 Guide),Texas pet coverage options,Texas has affordable vet care. Average $40/month.,Pet Insurance Texas | Compare Pet Insurance Rates (2024),Find affordable pet insurance in Texas. Average $40/month. Vet costs $200-450/visit. Compare quotes today.,"pet insurance texas,texas pet insurance,dog insurance tx",PUBLISHED,true,true
pet-insurance/texas/austin,Texas,TX,texas,$43/month,Nationwide,$225-475/visit,Pet Insurance in Austin TX (2024),Austin pet insurance,Austin has quality vet care. Average $43/month.,Pet Insurance Austin TX | Compare Austin Rates,Find pet insurance in Austin. Average $43/month. Vet costs $225-475/visit. Compare quotes today.,"pet insurance austin,austin pet insurance",PUBLISHED,true,true
pet-insurance/florida,Florida,FL,florida,$42/month,Petplan,$225-475/visit,Pet Insurance in Florida (2024 Guide),Florida pet coverage options,Florida has tropical pet health concerns. Average $42/month.,Pet Insurance Florida | Compare Pet Insurance Rates (2024),Find affordable pet insurance in Florida. Average $42/month. Vet costs $225-475/visit. Compare quotes today.,"pet insurance florida,florida pet insurance,dog insurance fl",PUBLISHED,true,true
pet-insurance/florida/miami,Florida,FL,florida,$48/month,Petplan,$275-550/visit,Pet Insurance in Miami FL (2024),Miami pet insurance,Miami has high vet costs. Average $48/month.,Pet Insurance Miami FL | Compare Miami Rates,Find pet insurance in Miami. Vet costs $275-550/visit. Average $48/month. Compare quotes today.,"pet insurance miami,miami pet insurance",PUBLISHED,true,true
pet-insurance/illinois,Illinois,IL,illinois,$38/month,Embrace,$200-425/visit,Pet Insurance in Illinois (2024 Guide),Illinois pet coverage options,Illinois has competitive vet costs. Average $38/month.,Pet Insurance Illinois | Compare Pet Insurance Rates (2024),Find affordable pet insurance in Illinois. Average $38/month. Vet costs $200-425/visit. Compare quotes today.,"pet insurance illinois,illinois pet insurance,dog insurance il",PUBLISHED,true,true
pet-insurance/washington,Washington,WA,washington,$46/month,Trupanion,$250-525/visit,Pet Insurance in Washington (2024 Guide),Washington pet coverage options,Washington has quality pet care. Average $46/month.,Pet Insurance Washington | Compare Pet Insurance Rates (2024),Find affordable pet insurance in Washington. Average $46/month. Vet costs $250-525/visit. Compare quotes today.,"pet insurance washington,washington pet insurance,dog insurance wa",PUBLISHED,true,true
