slug,state_name,state_code,state_slug,avg_premium,coverage_limits,top_insurer,avg_net_worth,title,subtitle,excerpt,metaTitle,metaDescription,metaKeywords,status,isPublished,showAds
umbrella-insurance/california,California,CA,california,$400/year,$1M - $5M,RLI,$750000+,Umbrella Insurance in California (2024 Guide),Extra liability protection for CA residents,California residents pay an average of $400/year for $1M umbrella coverage. Protects assets beyond auto/home limits.,Umbrella Insurance California | Extra Liability Coverage (2024),Find affordable umbrella insurance in California. Average $400/year for $1M coverage. Protect your assets beyond auto and home limits. Compare quotes today.,"umbrella insurance california,california umbrella insurance,excess liability ca",PUBLISHED,true,true
umbrella-insurance/california/los-angeles,California,CA,california,$480/year,$1M - $5M,RLI,$850000+,Umbrella Insurance in Los Angeles CA (2024),LA umbrella insurance,Los Angeles residents pay higher premiums. Average $480/year.,Umbrella Insurance Los Angeles CA | Compare LA Rates,Find umbrella insurance in Los Angeles. Average $480/year. Higher litigation risk area. Compare quotes today.,"umbrella insurance los angeles,LA umbrella insurance,los angeles excess liability",PUBLISHED,true,true
umbrella-insurance/new-york,New York,NY,new-york,$450/year,$1M - $5M,Chubb,$850000+,Umbrella Insurance in New York (2024 Guide),NY excess liability coverage,New York residents pay an average of $450/year for umbrella coverage. High litigation state.,Umbrella Insurance New York | Extra Liability Coverage (2024),Find affordable umbrella insurance in New York. Average $450/year for $1M coverage. High litigation state. Compare quotes today.,"umbrella insurance new york,new york umbrella insurance,excess liability ny",PUBLISHED,true,true
umbrella-insurance/new-york/nyc,New York,NY,new-york,$550/year,$1M - $5M,Chubb,$950000+,Umbrella Insurance in New York City (2024),NYC umbrella insurance,NYC residents pay highest premiums. Average $550/year.,Umbrella Insurance New York City | Compare NYC Rates,Find umbrella insurance in NYC. Average $550/year. Highest litigation risk. Compare quotes today.,"umbrella insurance nyc,nyc umbrella insurance,new york city excess liability",PUBLISHED,true,true
umbrella-insurance/texas,Texas,TX,texas,$350/year,$1M - $5M,Travelers,$650000+,Umbrella Insurance in Texas (2024 Guide),Texas excess liability coverage,Texas has competitive umbrella insurance rates. Average $350/year.,Umbrella Insurance Texas | Extra Liability Coverage (2024),Find affordable umbrella insurance in Texas. Average $350/year for $1M coverage. Protect your assets. Compare quotes today.,"umbrella insurance texas,texas umbrella insurance,excess liability tx",PUBLISHED,true,true
umbrella-insurance/texas/houston,Texas,TX,texas,$375/year,$1M - $5M,Travelers,$700000+,Umbrella Insurance in Houston TX (2024),Houston umbrella insurance,Houston residents pay moderate rates. Average $375/year.,Umbrella Insurance Houston TX | Compare Houston Rates,Find umbrella insurance in Houston. Average $375/year. Energy industry professionals need coverage. Compare quotes today.,"umbrella insurance houston,houston umbrella insurance",PUBLISHED,true,true
umbrella-insurance/florida,Florida,FL,florida,$425/year,$1M - $5M,AIG,$700000+,Umbrella Insurance in Florida (2024 Guide),Florida excess liability coverage,Florida residents pay an average of $425/year for umbrella coverage.,Umbrella Insurance Florida | Extra Liability Coverage (2024),Find affordable umbrella insurance in Florida. Average $425/year for $1M coverage. Protect your assets. Compare quotes today.,"umbrella insurance florida,florida umbrella insurance,excess liability fl",PUBLISHED,true,true
umbrella-insurance/florida/miami,Florida,FL,florida,$485/year,$1M - $5M,AIG,$800000+,Umbrella Insurance in Miami FL (2024),Miami umbrella insurance,Miami residents pay higher premiums. Average $485/year.,Umbrella Insurance Miami FL | Compare Miami Rates,Find umbrella insurance in Miami. Average $485/year. International exposure risk. Compare quotes today.,"umbrella insurance miami,miami umbrella insurance",PUBLISHED,true,true
umbrella-insurance/illinois,Illinois,IL,illinois,$325/year,$1M - $5M,Travelers,$600000+,Umbrella Insurance in Illinois (2024 Guide),Illinois excess liability coverage,Illinois has affordable umbrella rates. Average $325/year.,Umbrella Insurance Illinois | Extra Liability Coverage (2024),Find affordable umbrella insurance in Illinois. Average $325/year for $1M coverage. Competitive rates. Compare quotes today.,"umbrella insurance illinois,illinois umbrella insurance,excess liability il",PUBLISHED,true,true
umbrella-insurance/illinois/chicago,Illinois,IL,illinois,$360/year,$1M - $5M,Travelers,$675000+,Umbrella Insurance in Chicago IL (2024),Chicago umbrella insurance,Chicago residents pay moderate premiums. Average $360/year.,Umbrella Insurance Chicago IL | Compare Chicago Rates,Find umbrella insurance in Chicago. Average $360/year. Urban liability protection. Compare quotes today.,"umbrella insurance chicago,chicago umbrella insurance",PUBLISHED,true,true
